,,percentage_To,type_pre,percentage_From,percentage_max,opacity_score
L2,L4,1.3245391063339753,L2,19.294025019683318,19.294025019683318,59.0
L2,R1-R6,0.5227890691742125,L2,19.05647985989492,19.05647985989492,58.4
L2,L5,6.860968435971852,L2,18.159456054807805,18.159456054807805,56.1
L2,C3,0.5565706718635284,L2,2.4575383513875444,2.4575383513875444,15.1
L2,L1,0.29682768229678863,L2,1.2380314235795828,1.2380314235795828,11.9
L2,L3,0.09654031346324486,L2,0.6349676591122303,0.6349676591122303,10.4
L2,Mi1,0.15449452963247118,L2,0.2918958479304896,0.2918958479304896,9.5
L2,C2,0.038285816381224635,L2,0.25357238745860805,0.25357238745860805,9.4
L2,R8p,0.0009008427383817561,L2,0.07510326699211416,0.07510326699211416,8.9
L2,aMe12,0.00030028091279391873,L2,0.05442176870748299,0.05442176870748299,8.8
L2,Lawf1,0.00675632053786317,L2,0.03663570271348438,0.03663570271348438,8.8
L2,L2,0.00690646099426013,L2,0.01878862389667891,0.01878862389667891,8.7
L2,aMe4,0.00015014045639695936,L2,0.011303266644060134,0.011303266644060134,8.7
L3,Mi1,5.049245412668924,L3,5.065201419481849,5.065201419481849,21.9
L3,C3,2.0224128131388968,L3,4.741385025390806,4.741385025390806,21.1
L3,Lawf1,0.8865022607928468,L3,2.5522872890394117,2.5522872890394117,15.4
L3,L4,0.27542366890342357,L3,2.1301723383780944,2.1301723383780944,14.3
L3,R8p,0.04298192779601682,L3,1.9026160971335586,1.9026160971335586,13.7
L3,R1-R6,0.022339291420298217,L3,0.43235551663747807,0.43235551663747807,9.8
L3,L3,0.091619372407299,L3,0.3199525996148719,0.3199525996148719,9.5
L3,C2,0.08794328647737652,L3,0.3092588725475573,0.3092588725475573,9.5
L3,l-LNv,0.003676085929922491,L3,0.28792912513842744,0.28792912513842744,9.4
L3,aMe4,0.004524413452212297,L3,0.18085226630496215,0.18085226630496215,9.2
L3,L1,0.04071972106991067,L3,0.0901752781969954,0.0901752781969954,8.9
